Seecod;Cousig;Grccod;Counbrcdt;Locnbrpla;Pernum;Loccod;Grccodtypgrpcou;Coufrqlab;Grccodprt;Remcodtypcou;Couabgitt;Grcnbrpladis;Perjousem;Perhredeb
ES;ELE6507;01;3,00;60;4A;D-6321;C;H;;TL;METH.NUM.ELECTROMAGNETISME;20;JEU;1745
ES;ELE6507;01;3,00;60;4B;D-6321;C;H;;TL;METH.NUM.ELECTROMAGNETISME;20;JEU;1845
ES;ELE6507;01;3,00;20;4C;D-4040;L;H;;TL;METH.NUM.ELECTROMAGNETISME;20;JEU;1945
ES;ELE6701A;01;3,00;21;26;B-403;C;A;;T;DETECT. DECIS. ESTIM. SIGNAUX;20;MAR;1345
ES;ELE6701A;01;3,00;21;27;B-403;C;A;;T;DETECT. DECIS. ESTIM. SIGNAUX;20;MAR;1445
ES;ELE6701A;01;3,00;21;28;B-403;C;A;;T;DETECT. DECIS. ESTIM. SIGNAUX;20;MAR;1545
ES;ELE6702;01;3,00;36;36;B-637;C;A;;T;THEORIE DE L'INFORMATION;30;MER;1345
ES;ELE6702;01;3,00;36;37;B-637;C;A;;T;THEORIE DE L'INFORMATION;30;MER;1445
ES;ELE6702;01;3,00;36;38;B-637;C;A;;T;THEORIE DE L'INFORMATION;30;MER;1545
ES;ELE6705;01;3,00;25;25;A-208;C;A;;T;TRAITEMENT NUM. SIGNAUX;25;MAR;1245
ES;ELE6705;01;3,00;25;26;A-208;C;A;;T;TRAITEMENT NUM. SIGNAUX;25;MAR;1345
ES;ELE6705;01;3,00;25;27;A-208;C;A;;T;TRAITEMENT NUM. SIGNAUX;25;MAR;1445
ES;ELE6706A;01;3,00;36;17;D-3033;C;A;;T;RESEAUX DE TELECOMMUNICATIONS;20;LUN;1445
ES;ELE6706A;01;3,00;36;18;D-3033;C;A;;T;RESEAUX DE TELECOMMUNICATIONS;20;LUN;1545
ES;ELE6706A;01;3,00;36;19;D-3033;C;A;;T;RESEAUX DE TELECOMMUNICATIONS;20;LUN;1645
ES;ELE6901;01;6,00;200;5A;DEPART.;C;A;;T;PROJET MAITRISE I;20;VEN;1745
ES;ELE6902;01;9,00;200;5A;DEPART.;C;A;;T;PROJET MAITRISE II;20;VEN;1745
ES;ELE6903;01;1,200;200;5A;DEPART.;C;A;;T;PROJET MAITRISE III;20;VEN;1745
ES;ELE6904;01;1,00;36;15;D-3033;C;A;;T;SEMINAIRES;30;LUN;1245
ES;ELE6909;01;6,00;200;5A;DEPART.;C;A;;T;STAGE INDUSTRIEL I;20;VEN;1745
ES;ELE6910;01;6,00;200;5A;DEPART.;C;A;;T;STAGE INDUSTRIEL II;20;VEN;1745
ES;ELE6911;01;3,00;73;2C0;B-600.6;C;A;;T;ETUDE CAS EN AEROSPATIAL I;20;MAR;1900
ES;ELE6912;01;3,00;73;2C0;B-600.6;C;A;;T;ETUDES CAS EN AEROSPAT. II;20;MAR;1900
ES;ELE6920;01;1,500;200;5A;DEPART.;C;A;;T;PROJET DE MAITRISE IV;20;VEN;1745
ES;ELE6921;01;6,00;200;5A;DEPART.;C;A;;T;STAGE EN LABORATOIRE II;20;VEN;1745
ES;ELE6922;01;3,00;200;5A;DEPART.;C;A;;T;PROJET D'ETUDES SUPERIEURES;20;VEN;1745
ES;ELE6929;01;9,00;200;5A;DEPART.;C;A;;T;STAGE EN LABORATOIRE III;30;VEN;1745
ES;ELE6953A;01;3,00;51;21;A-503;C;B;;TL;C.SPEC.CONC. FOND. PHOTON.AV.;10;MAR;0830
ES;ELE6953A;01;3,00;51;22;A-503;C;B;;TL;C.SPEC.CONC. FOND. PHOTON.AV.;10;MAR;0930
ES;ELE6953A;01;3,00;51;23;A-503;C;B;;TL;C.SPEC.CONC. FOND. PHOTON.AV.;10;MAR;1030
ES;ELE6953A;01;3,00;32;46;A-252;L;B;I;TL;C.SPEC.CONC. FOND. PHOTON.AV.;10;JEU;1345
ES;ELE6953A;01;3,00;32;47;A-252;L;B;I;TL;C.SPEC.CONC. FOND. PHOTON.AV.;10;JEU;1445
